stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711929600000000000,1711929600000000000,1.07934,1.07937,1.07921,1.07924,73.0,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711929600000000000,1711929600000000000,1.07932,1.07934,1.07918,1.07921,144.0,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711933200000000000,1711933200000000000,1.07923,1.07989,1.07904,1.07914,4056.0,2024-04-01T01:00:00+00:00,2024-04-01T01:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711933200000000000,1711933200000000000,1.07921,1.07987,1.07901,1.07912,4416.0,2024-04-01T01:00:00+00:00,2024-04-01T01:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711936800000000000,1711936800000000000,1.07914,1.07948,1.07858,1.07866,4290.0,2024-04-01T02:00:00+00:00,2024-04-01T02:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711936800000000000,1711936800000000000,1.07911,1.07945,1.07856,1.07864,2971.0,2024-04-01T02:00:00+00:00,2024-04-01T02:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711940400000000000,1711940400000000000,1.07866,1.07897,1.07851,1.07884,3897.0,2024-04-01T03:00:00+00:00,2024-04-01T03:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711940400000000000,1711940400000000000,1.07865,1.07895,1.07848,1.07881,3283.0,2024-04-01T03:00:00+00:00,2024-04-01T03:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711944000000000000,1711944000000000000,1.07883,1.07915,1.07849,1.07912,2839.0,2024-04-01T04:00:00+00:00,2024-04-01T04:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711944000000000000,1711944000000000000,1.07881,1.07913,1.07847,1.07909,1855.0,2024-04-01T04:00:00+00:00,2024-04-01T04:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711947600000000000,1711947600000000000,1.07912,1.07913,1.07843,1.07867,1786.0,2024-04-01T05:00:00+00:00,2024-04-01T05:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711947600000000000,1711947600000000000,1.0791,1.07911,1.07841,1.07865,2630.0,2024-04-01T05:00:00+00:00,2024-04-01T05:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711951200000000000,1711951200000000000,1.07866,1.07874,1.07829,1.07856,2087.0,2024-04-01T06:00:00+00:00,2024-04-01T06:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711951200000000000,1711951200000000000,1.07865,1.07872,1.07827,1.07853,1739.0,2024-04-01T06:00:00+00:00,2024-04-01T06:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711954800000000000,1711954800000000000,1.07855,1.07906,1.07847,1.07851,3424.0,2024-04-01T07:00:00+00:00,2024-04-01T07:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711954800000000000,1711954800000000000,1.07853,1.07904,1.07844,1.07848,3105.0,2024-04-01T07:00:00+00:00,2024-04-01T07:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711958400000000000,1711958400000000000,1.07851,1.07924,1.07832,1.07842,2202.0,2024-04-01T08:00:00+00:00,2024-04-01T08:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711958400000000000,1711958400000000000,1.07849,1.07921,1.07829,1.0784,4103.0,2024-04-01T08:00:00+00:00,2024-04-01T08:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711962000000000000,1711962000000000000,1.07843,1.07918,1.07833,1.07908,3878.0,2024-04-01T09:00:00+00:00,2024-04-01T09:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711962000000000000,1711962000000000000,1.0784,1.07915,1.07831,1.07905,5060.0,2024-04-01T09:00:00+00:00,2024-04-01T09:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-1-HOUR-ASK-INTERNAL,1711965600000000000,1711965600000000000,1.07908,1.07911,1.07859,1.07865,4077.0,2024-04-01T10:00:00+00:00,2024-04-01T10:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-1-HOUR-BID-INTERNAL,1711965600000000000,1711965600000000000,1.07906,1.07908,1.07856,1.07863,4448.0,2024-04-01T10:00:00+00:00,2024-04-01T10:00:00+00:00
