stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1.71193E+18,1.71193E+18,1.07934,1.07937,1.07921,1.07924,73,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1.71193E+18,1.71193E+18,1.07932,1.07934,1.07918,1.07921,144,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1.71193E+18,1.71193E+18,1.07923,1.07965,1.07923,1.07957,1122,2024-04-01T00:15:00+00:00,2024-04-01T00:15:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1.71193E+18,1.71193E+18,1.07921,1.07963,1.07921,1.07954,844,2024-04-01T00:15:00+00:00,2024-04-01T00:15:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1.71193E+18,1.71193E+18,1.07957,1.07986,1.07948,1.07975,1341,2024-04-01T00:30:00+00:00,2024-04-01T00:30:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1.71193E+18,1.71193E+18,1.07956,1.07982,1.07945,1.07972,940,2024-04-01T00:30:00+00:00,2024-04-01T00:30:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1.71193E+18,1.71193E+18,1.07974,1.07989,1.07945,1.07945,697,2024-04-01T00:45:00+00:00,2024-04-01T00:45:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1.71193E+18,1.71193E+18,1.07971,1.07987,1.07942,1.07942,1137,2024-04-01T00:45:00+00:00,2024-04-01T00:45:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1.71193E+18,1.71193E+18,1.07945,1.07967,1.07904,1.07914,896,2024-04-01T01:00:00+00:00,2024-04-01T01:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1.71193E+18,1.71193E+18,1.07941,1.07965,1.07901,1.07912,1495,2024-04-01T01:00:00+00:00,2024-04-01T01:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1.71193E+18,1.71193E+18,1.07914,1.07948,1.07901,1.07939,1411,2024-04-01T01:15:00+00:00,2024-04-01T01:15:00+00:00
