timestamp,open,high,low,close,volume
2024-04-01T05:30:00+05:30,1.07934,1.07937,1.07921,1.07924,73.0
2024-04-02T05:30:00+05:30,1.07923,1.07989,1.07311,1.0735,136601.0
2024-04-03T05:30:00+05:30,1.0735,1.07792,1.07248,1.07677,184244.0
2024-04-04T05:30:00+05:30,1.07677,1.08409,1.07642,1.08394,163680.0
2024-04-05T05:30:00+05:30,1.08395,1.08766,1.08319,1.08362,185204.0
2024-04-06T05:30:00+05:30,1.08362,1.08482,1.07914,1.08377,197572.0
2024-04-07T05:30:00+05:30,1.08377,1.08377,1.08377,1.08377,0.0
2024-04-08T05:30:00+05:30,1.08389,1.08403,1.08275,1.08287,9131.0
2024-04-09T05:30:00+05:30,1.08286,1.08637,1.0821,1.08621,166950.0
2024-04-10T05:30:00+05:30,1.08621,1.08852,1.08478,1.08588,143604.0
2024-04-11T05:30:00+05:30,1.08588,1.08666,1.07289,1.07397,252085.0
2024-04-12T05:30:00+05:30,1.07397,1.07567,1.06994,1.07247,201806.0
2024-04-13T05:30:00+05:30,1.07246,1.07284,1.06228,1.06442,179551.0
2024-04-14T05:30:00+05:30,1.06442,1.06442,1.06442,1.06442,0.0
2024-04-15T05:30:00+05:30,1.064,1.06519,1.06357,1.06475,12166.0
2024-04-16T05:30:00+05:30,1.06474,1.06654,1.06205,1.06224,168508.0
2024-04-17T05:30:00+05:30,1.06226,1.06537,1.06013,1.06212,228749.0
2024-04-18T05:30:00+05:30,1.06213,1.06797,1.06061,1.06682,200505.0
2024-04-19T05:30:00+05:30,1.06683,1.06901,1.06403,1.0642,165021.0
2024-04-20T05:30:00+05:30,1.0642,1.06777,1.06107,1.06578,233560.0
2024-04-21T05:30:00+05:30,1.06578,1.06578,1.06578,1.06578,0.0
2024-04-22T05:30:00+05:30,1.06577,1.06651,1.06523,1.06579,5171.0
2024-04-23T05:30:00+05:30,1.0658,1.06708,1.06241,1.0656,122020.0
2024-04-24T05:30:00+05:30,1.06559,1.07114,1.06386,1.0702,171278.0
2024-04-25T05:30:00+05:30,1.07021,1.07145,1.06782,1.07012,134157.0
2024-04-26T05:30:00+05:30,1.0701,1.07406,1.06786,1.07259,187835.0
2024-04-27T05:30:00+05:30,1.07258,1.0753,1.0674,1.06957,181749.0
2024-04-28T05:30:00+05:30,1.06957,1.06957,1.06957,1.06957,0.0
2024-04-29T05:30:00+05:30,1.06957,1.07076,1.06947,1.07075,5052.0
2024-04-30T05:30:00+05:30,1.07077,1.07339,1.06903,1.07146,186848.0
