timestamp,open,high,low,close,volume
2024-04-01T05:30:00+05:30,1.07934,1.07937,1.07921,1.07924,73.0
2024-04-01T06:30:00+05:30,1.07923,1.07989,1.07904,1.07914,4056.0
2024-04-01T07:30:00+05:30,1.07914,1.07948,1.07858,1.07866,4290.0
2024-04-01T08:30:00+05:30,1.07866,1.07897,1.07851,1.07884,3897.0
2024-04-01T09:30:00+05:30,1.07883,1.07915,1.07849,1.07912,2839.0
2024-04-01T10:30:00+05:30,1.07912,1.07913,1.07843,1.07867,1786.0
2024-04-01T11:30:00+05:30,1.07866,1.07874,1.07829,1.07856,2087.0
2024-04-01T12:30:00+05:30,1.07855,1.07906,1.07847,1.07851,3424.0
2024-04-01T13:30:00+05:30,1.07851,1.07924,1.07832,1.07842,2202.0
2024-04-01T14:30:00+05:30,1.07843,1.07918,1.07833,1.07908,3878.0
2024-04-01T15:30:00+05:30,1.07908,1.07911,1.07859,1.07865,4077.0
2024-04-01T16:30:00+05:30,1.07863,1.07869,1.07798,1.07816,4249.0
2024-04-01T17:30:00+05:30,1.07814,1.07879,1.07801,1.07858,3165.0
2024-04-01T18:30:00+05:30,1.07858,1.07859,1.07773,1.07816,8643.0
2024-04-01T19:30:00+05:30,1.07817,1.07832,1.07583,1.07597,13365.0
2024-04-01T20:30:00+05:30,1.07598,1.07609,1.07396,1.07429,28422.0
2024-04-01T21:30:00+05:30,1.07428,1.07449,1.07311,1.07323,8702.0
2024-04-01T22:30:00+05:30,1.07323,1.07381,1.07313,1.0738,8177.0
2024-04-01T23:30:00+05:30,1.07378,1.07442,1.0737,1.07412,4124.0
2024-04-02T00:30:00+05:30,1.07412,1.07428,1.0737,1.07394,5215.0
2024-04-02T01:30:00+05:30,1.07393,1.07428,1.07391,1.07423,9126.0
2024-04-02T02:30:00+05:30,1.07424,1.07441,1.07416,1.0744,3147.0
2024-04-02T03:30:00+05:30,1.07447,1.07452,1.07398,1.07434,3156.0
2024-04-02T04:30:00+05:30,1.07434,1.07434,1.07392,1.07393,1671.0
2024-04-02T05:30:00+05:30,1.07393,1.07398,1.0735,1.0735,2903.0
2024-04-02T06:30:00+05:30,1.0735,1.0739,1.07311,1.07372,9060.0
2024-04-02T07:30:00+05:30,1.07371,1.07383,1.07304,1.07336,9959.0
2024-04-02T08:30:00+05:30,1.07335,1.07359,1.07297,1.07357,6431.0
