timestamp,open,high,low,close,volume,n_ticks,range,body,upper_wick,lower_wick,log_return,pct_return,typical_price,vwap,tr,atr_14,ema_9,ema_21,rsi_14
2024-04-01T05:30:00+05:30,1.07934,1.07937,1.07921,1.07924,73.0,1,0.00015999999999993797,9.999999999998899e-05,2.999999999997449e-05,2.999999999997449e-05,,,1.0792733333333333,1.0792733333333333,0.00015999999999993797,0.00015999999999993797,1.07924,1.07924,
2024-04-01T06:15:00+05:30,1.07923,1.07989,1.07923,1.07945,3160.0,45,0.000660000000000105,0.000220000000000109,0.00043999999999999595,0.0,0.00019456244357693263,0.00019458137207672976,1.0795233333333332,1.0795176884214865,0.000660000000000105,0.0001957142857142356,1.079282,1.079259090909091,100.0
2024-04-01T07:00:00+05:30,1.07945,1.07967,1.07901,1.07926,3534.0,45,0.0006599999999998829,0.00018999999999991246,0.00021999999999988695,0.0002500000000000835,-0.00017603105603862114,-0.0001760155634813465,1.0793133333333333,1.079410965962268,0.0006599999999998829,0.00022887755102035326,1.0792776000000002,1.079259173553719,50.64935064936734
2024-04-01T07:45:00+05:30,1.07925,1.07927,1.07851,1.07868,2273.0,45,0.0007599999999998719,0.0005699999999999594,1.999999999990898e-05,0.00017000000000000348,-0.0005375497131212797,-0.0005374052591591294,1.0788200000000001,1.0792623746312686,0.0007599999999998719,0.0002668148688046046,1.0791580800000002,1.0792065214124718,19.314285714290094
2024-04-01T08:30:00+05:30,1.07868,1.07897,1.07858,1.07884,3276.0,45,0.00038999999999989043,0.00015999999999993797,0.00012999999999996348,9.999999999998899e-05,0.00014831843996193807,0.00014832943968556833,1.0787966666666666,1.0791384984302264,0.00038999999999989043,0.000275613806747125,1.0790944640000002,1.0791732012840651,31.84147337673572
2024-04-01T09:15:00+05:30,1.07883,1.07903,1.07849,1.07887,2312.0,45,0.0005399999999999849,4.0000000000040004e-05,0.00015999999999993797,0.00034000000000000696,2.78072586232789e-05,2.7807645248678625e-05,1.0787966666666666,1.0790844708777687,0.0005399999999999849,0.000294498534836615,1.0790495712000001,1.0791456375309683,33.91331640895281
2024-04-01T10:00:00+05:30,1.07886,1.07915,1.07862,1.07867,1309.0,45,0.0005300000000001415,0.00018999999999991246,0.0002900000000001235,5.0000000000105516e-05,-0.00018539633153765993,-0.0001853791466998045,1.0788133333333334,1.0790622007487818,0.0005300000000001415,0.0003113200680625812,1.0789736569600001,1.0791023977554257,27.8380090851158
2024-04-01T10:45:00+05:30,1.07868,1.07877,1.07843,1.0785,1386.0,45,0.00034000000000000696,0.000180000000000069,8.999999999992347e-05,7.00000000000145e-05,-0.00015761391114468677,-0.00015760149072474583,1.0785666666666667,1.0790225534453233,0.00034000000000000696,0.0003133686346295402,1.078878925568,1.0790476343231143,23.916143152225217
2024-04-01T11:30:00+05:30,1.07848,1.07866,1.07829,1.07856,1705.0,45,0.00036999999999998145,7.999999999985796e-05,9.999999999998899e-05,0.0001900000000001345,5.563127591772214e-05,5.563282336584763e-05,1.0785033333333334,1.0789760288346997,0.00036999999999998145,0.0003174137321560003,1.0788151404544,1.079003303930104,27.783193809880586
2024-04-01T12:15:00+05:30,1.07855,1.07906,1.07847,1.0788,2673.0,45,0.0005899999999998684,0.0002500000000000835,0.00025999999999992696,7.999999999985796e-05,0.00022249416044609716,0.0002225189141076278,1.0787766666666665,1.0789514725895888,0.0005899999999998684,0.00033688417985913374,1.07881211236352,1.0789848217546398,40.75459002855626
2024-04-01T13:00:00+05:30,1.07879,1.07924,1.07848,1.07902,1992.0,45,0.0007599999999998719,0.0002300000000001745,0.00021999999999988695,0.00030999999999981043,0.00020390950196257941,0.00020393029291820852,1.0789133333333334,1.0789482660138718,0.0007599999999998719,0.00036710673844061504,1.0788536898908159,1.0789880197769453,49.677504667556114
2024-04-01T13:45:00+05:30,1.07903,1.07913,1.07832,1.0788,1987.0,45,0.0008099999999999774,0.00022999999999995246,9.999999999998899e-05,0.00048000000000003595,-0.00020390950196253922,-0.00020388871383303364,1.07875,1.0789329251038422,0.0008099999999999774,0.00039874197140914093,1.0788429519126528,1.0789709270699501,42.74456234221257
2024-04-01T14:30:00+05:30,1.07881,1.07918,1.07878,1.07908,2852.0,45,0.00039999999999995595,0.00026999999999999247,9.999999999998899e-05,2.999999999997449e-05,0.0002595139688688991,0.00025954764553204335,1.0790133333333334,1.0789409625449786,0.00039999999999995595,0.00039883183059419915,1.0788903615301222,1.0789808427908638,51.938031134561776
2024-04-01T15:15:00+05:30,1.07908,1.07911,1.07872,1.07882,2782.0,45,0.0003900000000001125,0.000260000000000149,2.999999999997449e-05,9.999999999998899e-05,-0.00024097502317837213,-0.00024094599102952863,1.0788833333333332,1.078935842647591,0.0003900000000001125,0.00039820098555176436,1.0788762892240977,1.0789662207189672,44.75219928449039
