stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711929600000000000,1711929600000000000,1.07934,1.07937,1.07921,1.07924,73.0,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711929600000000000,1711929600000000000,1.07932,1.07934,1.07918,1.07921,144.0,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711930500000000000,1711930500000000000,1.07923,1.07965,1.07923,1.07957,1122.0,2024-04-01T00:15:00+00:00,2024-04-01T00:15:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711930500000000000,1711930500000000000,1.07921,1.07963,1.07921,1.07954,844.0,2024-04-01T00:15:00+00:00,2024-04-01T00:15:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711931400000000000,1711931400000000000,1.07957,1.07986,1.07948,1.07975,1341.0,2024-04-01T00:30:00+00:00,2024-04-01T00:30:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711931400000000000,1711931400000000000,1.07956,1.07982,1.07945,1.07972,940.0,2024-04-01T00:30:00+00:00,2024-04-01T00:30:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711932300000000000,1711932300000000000,1.07974,1.07989,1.07945,1.07945,697.0,2024-04-01T00:45:00+00:00,2024-04-01T00:45:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711932300000000000,1711932300000000000,1.07971,1.07987,1.07942,1.07942,1137.0,2024-04-01T00:45:00+00:00,2024-04-01T00:45:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711933200000000000,1711933200000000000,1.07945,1.07967,1.07904,1.07914,896.0,2024-04-01T01:00:00+00:00,2024-04-01T01:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711933200000000000,1711933200000000000,1.07941,1.07965,1.07901,1.07912,1495.0,2024-04-01T01:00:00+00:00,2024-04-01T01:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711934100000000000,1711934100000000000,1.07914,1.07948,1.07901,1.07939,1411.0,2024-04-01T01:15:00+00:00,2024-04-01T01:15:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711934100000000000,1711934100000000000,1.07911,1.07945,1.07897,1.07937,746.0,2024-04-01T01:15:00+00:00,2024-04-01T01:15:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711935000000000000,1711935000000000000,1.0794,1.07944,1.07913,1.07926,1227.0,2024-04-01T01:30:00+00:00,2024-04-01T01:30:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711935000000000000,1711935000000000000,1.07937,1.07941,1.07911,1.07923,581.0,2024-04-01T01:30:00+00:00,2024-04-01T01:30:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711935900000000000,1711935900000000000,1.07925,1.07927,1.07894,1.07894,1024.0,2024-04-01T01:45:00+00:00,2024-04-01T01:45:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711935900000000000,1711935900000000000,1.07922,1.07926,1.0789,1.0789,780.0,2024-04-01T01:45:00+00:00,2024-04-01T01:45:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711936800000000000,1711936800000000000,1.07894,1.07897,1.07858,1.07866,628.0,2024-04-01T02:00:00+00:00,2024-04-01T02:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711936800000000000,1711936800000000000,1.07891,1.07895,1.07856,1.07864,864.0,2024-04-01T02:00:00+00:00,2024-04-01T02:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711937700000000000,1711937700000000000,1.07866,1.07872,1.07851,1.07868,621.0,2024-04-01T02:15:00+00:00,2024-04-01T02:15:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711937700000000000,1711937700000000000,1.07865,1.07871,1.07848,1.07865,1203.0,2024-04-01T02:15:00+00:00,2024-04-01T02:15:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711938600000000000,1711938600000000000,1.07868,1.07879,1.07858,1.07874,751.0,2024-04-01T02:30:00+00:00,2024-04-01T02:30:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711938600000000000,1711938600000000000,1.07864,1.07876,1.07856,1.07872,577.0,2024-04-01T02:30:00+00:00,2024-04-01T02:30:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711939500000000000,1711939500000000000,1.07873,1.07897,1.07871,1.07886,1179.0,2024-04-01T02:45:00+00:00,2024-04-01T02:45:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711939500000000000,1711939500000000000,1.07872,1.07895,1.07869,1.07884,862.0,2024-04-01T02:45:00+00:00,2024-04-01T02:45:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711940400000000000,1711940400000000000,1.07887,1.07894,1.07873,1.07884,1346.0,2024-04-01T03:00:00+00:00,2024-04-01T03:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711940400000000000,1711940400000000000,1.07884,1.0789,1.07871,1.07881,641.0,2024-04-01T03:00:00+00:00,2024-04-01T03:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711941300000000000,1711941300000000000,1.07883,1.07883,1.0785,1.07861,939.0,2024-04-01T03:15:00+00:00,2024-04-01T03:15:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711941300000000000,1711941300000000000,1.07881,1.07881,1.07848,1.07859,457.0,2024-04-01T03:15:00+00:00,2024-04-01T03:15:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711942200000000000,1711942200000000000,1.07861,1.07874,1.07849,1.07864,860.0,2024-04-01T03:30:00+00:00,2024-04-01T03:30:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711942200000000000,1711942200000000000,1.0786,1.07871,1.07847,1.07861,408.0,2024-04-01T03:30:00+00:00,2024-04-01T03:30:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711943100000000000,1711943100000000000,1.07864,1.07903,1.07864,1.07887,513.0,2024-04-01T03:45:00+00:00,2024-04-01T03:45:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711943100000000000,1711943100000000000,1.07862,1.07902,1.07861,1.07885,425.0,2024-04-01T03:45:00+00:00,2024-04-01T03:45:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711944000000000000,1711944000000000000,1.07886,1.07915,1.07884,1.07912,527.0,2024-04-01T04:00:00+00:00,2024-04-01T04:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711944000000000000,1711944000000000000,1.07885,1.07913,1.07883,1.07909,565.0,2024-04-01T04:00:00+00:00,2024-04-01T04:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711944900000000000,1711944900000000000,1.07912,1.07913,1.07872,1.07874,443.0,2024-04-01T04:15:00+00:00,2024-04-01T04:15:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-15-MINUTE-BID-INTERNAL,1711944900000000000,1711944900000000000,1.0791,1.07911,1.07869,1.07871,742.0,2024-04-01T04:15:00+00:00,2024-04-01T04:15:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-15-MINUTE-ASK-INTERNAL,1711945800000000000,1711945800000000000,1.07874,1.07875,1.07862,1.07867,339.0,2024-04-01T04:30:00+00:00,2024-04-01T04:30:00+00:00
